Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Previous Cumulative Payout,Payout,Unique Page Views,Popularity Times Rating,Advertising Portion,Advertising Revenue,Views per Thousand Words,Normalized Popularity,Rating Median,Normalized Rating Median,Categorized Articles,Articles,Categorization,Normalized Categorization,Normalized Worth,Earnings Multiplier,Earnings
Papacrusher,13mtCyZTnMJRJw9nt7xqbiGU7tXrvkeAJB,0,0,17,26781,26781,26951,27,8,19,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30,32,0.938,1.24,0.724,1.01,19
Paul3,1MPPHP3TLvD4mph9z1GpM5BamB5Pcx5HuT,0,0,0,74025,74025,74025,74,41,33,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,48,48,1.0,1.35,0.735,1.02,34
Pb321go,1F5uDaCF8ZP6kiLHvDhWsSNPHP6kwt7udi,205181,61554,0,266456,471637,328010,327,277,50,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32,33,0.97,1.3,0.73,1.01,51
Penguinwriter,1LNL1Zrg5h2z8m9c48fgdMx2uXmN3S5Kch,0,0,50,247156,247156,247656,218,168,50,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47,47,1.0,1.35,0.735,1.02,51
Pepegom,1DHAQVz32aMV85AazVHEz8ryeYAArV5pTc,0,0,0,2119,2119,2119,2,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,6,0.833,1.06,0.706,0.0,0
Physicalartcoin,1CPQPfVT9KLsYWpbBhq7sraL9XyxCJ16yB
Prdkojistic,15fLDbRPj14D2wHrgmTDqM1nqQ5keiV2ye,1302,390,0,0,1302,390,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0
Psalm,16y9hCqxESscRnBJwJskJpDACH4qUiRpA8,0,0,0,16768,16768,16768,17,17,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13,13,1.0,1.35,0.735,0.0,0
Python,1DTdNS3EksVgYAs7yykVA1eifjEHNqsqaY,535,160,1,3808,4343,3978,4,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,6,0.5,0.548,0.655,0.0,0
Pythonideus,1JZoUrpX6Dc9fEXagFgsvFL63bhTdJpkn6,0,0,15,1345,1345,1495,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.35,0.735,0.0,0
Randomcount,1CBCR1jCnD57yfwMXsUKbMBaMSrKaBUt3z,0,0,0,12079,12079,12079,12,12,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.35,0.735,0.0,0
